issue_date,country,title,sector,notice_type,download_link
"Oct 21, 2024",India,Chennai Peripheral Ring Road,Transport,Amendment to Specific Procurement Notice - Addendum No. 1,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/EPC04Addendum01.pdf
"Oct 17, 2024",Georgia,Tbilisi Metro Modernization Project,Transport,General Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Georgia/GPN-Tbilisi-Metro-AIIB-Review_16.09.2024.pdf
"Oct 16, 2024",Uzbekistan,Bukhara Region Water Supply and Sewerage (BRWSSP),Water,Contract Award Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Uzbekistan/Contract-Award-notice.pdf
"Oct 8, 2024",Philippines,Laguna Lakeshore Road Network (Phase 1) Project,Transport,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Philippines/52321phi-llrn-pkg2-ifb.pdf
"Oct 7, 2024",Türkiye,Istanbul Seismic Mitigation and Emergency Preparedness Additional Financing Project,Urban,Contract Award Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Turkey/AF-AIIB-CB2_Contract_Awarded_by_QCBS.pdf
"Sep 30, 2024",India,Mumbai Metro Line 5,Transport,Addendum to Tender Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/Corrigendum_5_CA_241.pdf
"Sep 30, 2024",India,Mumbai Metro Line 5,Transport,Addendum to Tender Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/Corrigendum_7_CA239.pdf
"Sep 27, 2024",Pakistan,Lahore Wastewater and Drainage Management Project,Water,Procurement Plan,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Pakistan/P000074-Procurement_Plan_AIIB_24.09.2024-approved.pdf
"Sep 20, 2024",India,Assam Intra State Transmission System Enhancement,Energy,Contract Award Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/Assam-Intra-State-Transmission-System-Enhancement_Contract_AwardGoods_Works_NCS.pdf
"Sep 18, 2024",Sri Lanka,Sri Lanka: Reduction of Landslide Vulnerability by Mitigation Measures (RLVMM) Project,Other,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Sri_lanka/Specific-Procurement-Notice-S3.pdf
"Sep 16, 2024",India,India: Mumbai Metro Line 5,Transport,Addendum to Tender Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/CA-239-Corrigendum-6-Uploaded-on-16.09.2024.pdf
"Sep 16, 2024",India,Chennai Peripheral Ring Road (Sections 2 and 3),Transport,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/SPN-EPC-04-13.09.2024.pdf
"Sep 13, 2024",Pakistan,Lahore Water and Wastewater Management,Water,Specific Procurement Notice,https://www.aiib.org/en/projects/details/2024/_download/Pakistan/2-Specific-Procurement-Notice-for-Publishing-of-Advertisement-in-Newspaper-Clean-ver-11-09-2024-revised-Sep-13-2024.pdf
"Sep 6, 2024",Philippines,Philippines: Laguna Lakeshore Road Network (Phase 1) Project,Transport,Advance Contracting Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Philippines/ACN-for-LLRN-FINAL-09022024-clean.pdf
"Sep 3, 2024",India,India: Mumbai Metro Line 5,Transport,Addendum to Tender Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/CA241_Addendum_2.pdf
"Sep 6, 2024",Türkiye,Türkiye: Istanbul Seismic Mitigation and Emergency Preparedness Additional Financing Project,Urban,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Turkey/AF-AIIB-GA1.1_SPN.pdf
"Sep 3, 2024",Cambodia,Cambodia: Urban Infrastructure Development Project,Urban,Request for Expressions of Interest,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Cambodia/REOI-Procurement-Consultant_AIIB_02092024.pdf
"Sep 3, 2024",Sri Lanka,Sri Lanka: Reduction of Landslide Vulnerability by Mitigation Measures (RLVMM) Project,Other,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Sri_lanka/Specific-Procurement-Notice.pdf
"Sep 3, 2024",Sri Lanka,Sri Lanka: Support to Colombo Urban Regeneration Project,Urban,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Sri_lanka/Specific-Procurement-Notice.pdf
"Sep 2, 2024",India,Mumbai Urban Transport Project - Phase III (MUTP),Transport,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/NIT102.pdf
"August 27, 2024",Uzbekistan,Bukhara Road Network Improvement Project (Phase 1),Transport,Request for CV,https://www.aiib.org/en/projects/details/2024/_download/Uzbekistan/Fw-KK-Project-Recruiting-the-International-Technical-Consultant.zip
